Price,Open,High,Low,Close,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2015-09-08,1350.3175908868961,1361.8917416659267,1342.6014903675425,1358.03369140625,57412800
2015-09-09,1369.6079157686781,1377.3240167025863,1327.169360632184,1342.6015625,135401200
2015-09-10,1334.8854121718296,1334.8854121718296,1319.4532108750454,1327.1693115234375,70959200
2015-09-11,1342.6015991916547,1342.6015991916547,1334.885498046875,1334.885498046875,46889600
2015-09-14,1342.6015991916547,1342.6015991916547,1327.1693969020955,1334.885498046875,41073600
2015-09-15,1331.027411099138,1342.6015625,1327.169360632184,1342.6015625,32625200
2015-09-16,1342.6015991916547,1346.4596497640446,1327.1693969020955,1334.885498046875,32254800
2015-09-17,1331.0274474744851,1346.4596497640446,1327.1693969020955,1334.885498046875,112392000
2015-09-18,1342.6015991916547,1350.3177003364342,1331.0274474744851,1334.885498046875,94615200
2015-09-21,1334.8854121718296,1342.6015128202216,1327.1693115234375,1327.1693115234375,66774000
2015-09-22,1327.1693115234375,1334.8854121718296,1323.3112611992415,1327.1693115234375,34276400
2015-09-23,1311.737015054833,1311.737015054833,1238.4340642135335,1242.2921142578125,75746400
2015-09-25,1234.5761276294497,1234.5761276294497,1192.1375732421875,1192.1375732421875,138808000
2015-09-28,1192.1374718548848,1199.8535719963404,1161.2730712890625,1161.2730712890625,63378800
2015-09-29,1126.550682337721,1199.8536376953125,1103.40238064585,1199.8536376953125,63959200
2015-09-30,1211.4278021490536,1234.5761041009464,1207.5697518237382,1223.001953125,118378400
2015-10-01,1234.5760677899686,1253.8663188491869,1223.0019171544377,1230.718017578125,63633600
2015-10-02,1230.7181149958012,1234.5761655130293,1184.4215087890625,1184.4215087890625,89269200
2015-10-05,1211.4278452803449,1265.4405517578125,1203.7117443549923,1265.4405517578125,56322400
2015-10-06,1280.8728466248244,1377.3241151959708,1280.8728466248244,1373.466064453125,179906000
2015-10-07,1388.8981256565125,1400.47227670365,1342.6015214679621,1377.323974609375,118109200
2015-10-08,1377.3241151959708,1385.0402166816625,1358.0338614817415,1373.466064453125,108926400
2015-10-09,1396.614464393029,1431.3369234525242,1392.7564133864184,1404.33056640625,177488400
2015-10-12,1388.8981873722753,1423.6206420565823,1388.8981873722753,1415.904541015625,66492800
2015-10-13,1408.1883589249082,1415.9044595217572,1381.1820068359375,1381.1820068359375,123736400
2015-10-15,1381.1821659388168,1404.3304703958918,1365.7499629674332,1373.466064453125,80592800
2015-10-16,1373.465924260329,1400.47227670365,1373.465924260329,1377.323974609375,65777200
2015-10-19,1381.1821042253673,1412.0465087890627,1381.1821042253673,1412.0465087890625,54853200
2015-10-20,1412.0464362067146,1427.4786376953125,1392.756184345967,1427.4786376953125,65063600
2015-10-21,1408.1884037834518,1450.6269584180216,1408.1884037834518,1423.62060546875,65543200
2015-10-22,1431.3367430975393,1439.0528441384963,1415.9045410156252,1415.904541015625,66396000
2015-10-23,1442.9108523105053,1458.3430539394947,1419.7625498670213,1450.626953125,142408000
2015-10-26,1466.059270714344,1485.349524276375,1462.2012200019378,1477.6334228515625,145286400
2015-10-27,1466.0590959460008,1489.2073974609375,1454.4849451885323,1489.2073974609375,80484400
2015-10-28,1469.9172915504093,1485.3494940863716,1458.3431396484375,1458.3431396484375,72526000
2015-10-29,1450.6267469618056,1454.4847968207464,1381.1818495008679,1388.89794921875,113545600
2015-10-30,1361.8918148347702,1377.3240167025863,1342.6015625,1342.6015625,183069200
2015-11-02,1338.7436230754295,1342.6016738623905,1296.3050644188597,1319.453369140625,84406800
2015-11-03,1342.6016949152543,1400.4724576271187,1342.6016949152543,1365.75,133874000
2015-11-04,1369.6081073467549,1412.0466684194712,1369.6081073467549,1404.33056640625,104358000
2015-11-05,1408.1884646614947,1412.0465152496083,1373.4660093684715,1385.0401611328125,76689200
2015-11-06,1373.4660093684715,1400.4723634852671,1373.4660093684715,1385.0401611328125,39835600
2015-11-09,1358.033764367816,1373.465966235632,1342.6015625,1342.6015625,66005200
2015-11-10,1315.595183599563,1342.6015363420759,1296.304931640625,1296.304931640625,122132000
2015-11-11,1284.730822641915,1288.5888731603593,1257.7244690128057,1261.58251953125,122912000
2015-11-12,1261.5824958459655,1304.021050752099,1261.5824958459655,1292.4468994140625,101481200
2015-11-13,1280.8727724806377,1338.7435302734375,1277.0147219611176,1338.7435302734375,86066400
2015-11-16,1304.020960190717,1315.595110724954,1288.5887594784008,1311.737060546875,54983200
2015-11-17,1315.595263318048,1338.7435670714447,1315.595263318048,1331.0274658203125,75114400
2015-11-18,1342.6016176970109,1342.6016176970109,1319.453313943614,1331.0274658203125,49671200
2015-11-19,1342.6016292735044,1354.17578125,1338.7435786146723,1354.17578125,61782000
2015-11-20,1334.8854797539175,1350.3176818319973,1323.3113281953574,1338.7435302734375,54798400
2015-11-23,1346.45947265625,1365.749722980838,1346.45947265625,1346.45947265625,45954000
2015-11-24,1327.169360632184,1350.3176634339081,1327.169360632184,1342.6015625,26436400
2015-11-25,1346.459571817008,1381.182024958421,1342.6015214679621,1377.323974609375,65648400
2015-11-26,1385.0400660430003,1431.3366699218748,1373.4659150732816,1431.336669921875,114857200
2015-11-27,1423.6206670139493,1431.3367681901766,1385.0401611328125,1385.0401611328125,50550800
2015-11-30,1373.4658633961396,1388.8980641084559,1311.737060546875,1311.737060546875,291126000
2015-12-01,1350.3177599960497,1385.0402166816625,1350.3177599960497,1373.466064453125,81230800
2015-12-02,1377.3241151959708,1385.0402166816625,1365.7499629674332,1373.466064453125,45067200
2015-12-03,1365.7497919256036,1377.3239427046342,1358.03369140625,1358.03369140625,46170000
2015-12-04,1358.0337276785715,1361.8917780412946,1342.6015262276785,1350.317626953125,66563200
2015-12-07,1365.7500563401443,1412.0466684194712,1361.8920053335337,1404.33056640625,65284000
2015-12-08,1388.89794921875,1400.472098795573,1373.465749782986,1388.89794921875,75222000
2015-12-09,1388.89794921875,1388.89794921875,1388.89794921875,1388.89794921875,0
2015-12-10,1358.033758802817,1369.60791015625,1350.317657900528,1369.60791015625,79034800
2015-12-11,1377.3239794921876,1381.1820298549108,1350.317626953125,1350.317626953125,45985200
2015-12-14,1311.7372126924818,1331.0274658203125,1304.0211114413496,1331.0274658203125,78568800
2015-12-15,1338.7434758649554,1350.317626953125,1323.3112744140626,1350.317626953125,55228000
2015-12-16,1365.7498056422398,1381.1820068359375,1350.3176044485422,1381.1820068359375,87191200
2015-12-17,1412.0466684194712,1412.0466684194712,1385.0403113731973,1404.33056640625,90298000
2015-12-18,1385.0399733054262,1385.0399733054262,1346.45947265625,1346.45947265625,93092000
